Trace1,
Freq,,Amp,,
            85116382,Hz,             -100.52, dBm,
            85133048,Hz,             -101.94, dBm,
            85149714,Hz,             -103.88, dBm,
            85166380,Hz,              -98.48, dBm,
            85183046,Hz,             -102.27, dBm,
            85199712,Hz,             -102.14, dBm,
            85216378,Hz,             -110.23, dBm,
            85233044,Hz,             -106.38, dBm,
            85249710,Hz,             -102.82, dBm,
            85266376,Hz,             -100.41, dBm,
            85283042,Hz,             -108.70, dBm,
            85299708,Hz,             -106.49, dBm,
            85316374,Hz,             -109.90, dBm,
            85333040,Hz,             -106.71, dBm,
            85349706,Hz,             -115.00, dBm,
            85366372,Hz,             -101.62, dBm,
            85383038,Hz,             -103.88, dBm,
            85399704,Hz,             -110.23, dBm,
            85416370,Hz,             -107.16, dBm,
            85433036,Hz,              -98.75, dBm,
            85449702,Hz,             -103.49, dBm,
            85466368,Hz,             -100.85, dBm,
            85483034,Hz,             -103.96, dBm,
            85499700,Hz,             -107.40, dBm,
            85516366,Hz,             -107.52, dBm,
            85533032,Hz,             -107.65, dBm,
            85549698,Hz,             -102.82, dBm,
            85566364,Hz,             -105.09, dBm,
            85583030,Hz,              -98.75, dBm,
            85599696,Hz,             -103.04, dBm,
            85616362,Hz,             -101.38, dBm,
            85633028,Hz,             -105.37, dBm,
            85649694,Hz,             -104.90, dBm,
            85666360,Hz,             -105.18, dBm,
            85683026,Hz,             -111.29, dBm,
            85699692,Hz,             -105.37, dBm,
            85716358,Hz,              -99.35, dBm,
            85733024,Hz,             -112.08, dBm,
            85749690,Hz,             -102.75, dBm,
            85766356,Hz,             -102.89, dBm,
            85783022,Hz,             -104.21, dBm,
            85799688,Hz,             -102.07, dBm,
            85816354,Hz,             -111.11, dBm,
            85833020,Hz,             -104.99, dBm,
            85849686,Hz,             -102.34, dBm,
            85866352,Hz,             -105.09, dBm,
            85883018,Hz,              -97.54, dBm,
            85899684,Hz,             -114.72, dBm,
            85916350,Hz,             -107.77, dBm,
            85933016,Hz,             -101.20, dBm,
            85949682,Hz,             -109.59, dBm,
            85966348,Hz,             -103.72, dBm,
            85983014,Hz,             -102.14, dBm,
            85999680,Hz,             -105.09, dBm,
            86016346,Hz,              -98.06, dBm,
            86033012,Hz,              -99.99, dBm,
            86049678,Hz,              -99.79, dBm,
            86066344,Hz,             -100.31, dBm,
            86083010,Hz,             -118.10, dBm,
            86099676,Hz,             -104.46, dBm,
            86116342,Hz,             -112.51, dBm,
            86133008,Hz,             -105.86, dBm,
            86149674,Hz,              -96.73, dBm,
            86166340,Hz,             -116.25, dBm,
            86183006,Hz,             -102.41, dBm,
            86199672,Hz,             -108.16, dBm,
            86216338,Hz,             -106.49, dBm,
            86233004,Hz,             -110.06, dBm,
            86249670,Hz,              -99.94, dBm,
            86266336,Hz,             -107.52, dBm,
            86283002,Hz,             -102.20, dBm,
            86299668,Hz,             -103.34, dBm,
            86316334,Hz,             -107.90, dBm,
            86333000,Hz,              -97.78, dBm,
            86349666,Hz,             -107.77, dBm,
            86366332,Hz,              -99.11, dBm,
            86382998,Hz,             -104.29, dBm,
            86399664,Hz,             -106.06, dBm,
            86416330,Hz,             -104.73, dBm,
            86432996,Hz,              -98.07, dBm,
            86449662,Hz,             -111.88, dBm,
            86466328,Hz,             -100.86, dBm,
            86482994,Hz,              -96.87, dBm,
            86499660,Hz,             -103.11, dBm,
            86516326,Hz,             -107.53, dBm,
            86532992,Hz,             -110.23, dBm,
            86549658,Hz,             -109.28, dBm,
            86566324,Hz,             -101.38, dBm,
            86582990,Hz,             -103.64, dBm,
            86599656,Hz,             -102.61, dBm,
            86616322,Hz,             -100.63, dBm,
            86632988,Hz,             -102.97, dBm,
            86649654,Hz,             -104.91, dBm,
            86666320,Hz,             -105.56, dBm,
            86682986,Hz,             -101.03, dBm,
            86699652,Hz,             -105.28, dBm,
            86716318,Hz,             -109.43, dBm,
            86732984,Hz,             -106.38, dBm,
            86749650,Hz,             -101.20, dBm,
            86766316,Hz,             -104.13, dBm,
            86782982,Hz,             -102.75, dBm,
            86799648,Hz,             -100.86, dBm,
            86816314,Hz,             -104.73, dBm,
            86832980,Hz,             -105.76, dBm,
            86849646,Hz,             -103.88, dBm,
            86866312,Hz,             -107.53, dBm,
            86882978,Hz,             -106.17, dBm,
            86899644,Hz,              -99.79, dBm,
            86916310,Hz,              -99.12, dBm,
            86932976,Hz,              -97.51, dBm,
            86949642,Hz,             -108.03, dBm,
            86966308,Hz,             -105.66, dBm,
            86982974,Hz,             -103.57, dBm,
            86999640,Hz,              -99.16, dBm,
            87016306,Hz,             -102.82, dBm,
            87032972,Hz,             -108.16, dBm,
            87049638,Hz,             -104.13, dBm,
            87066304,Hz,             -104.64, dBm,
            87082970,Hz,             -103.80, dBm,
            87099636,Hz,              -99.64, dBm,
            87116302,Hz,             -103.57, dBm,
            87132968,Hz,             -104.55, dBm,
            87149634,Hz,             -112.51, dBm,
            87166300,Hz,             -102.75, dBm,
            87182966,Hz,             -112.09, dBm,
            87199632,Hz,             -105.00, dBm,
            87216298,Hz,             -100.92, dBm,
            87232964,Hz,             -106.82, dBm,
            87249630,Hz,             -101.95, dBm,
            87266296,Hz,             -103.12, dBm,
            87282962,Hz,             -102.90, dBm,
            87299628,Hz,             -106.71, dBm,
            87316294,Hz,             -104.13, dBm,
            87332960,Hz,             -104.91, dBm,
            87349626,Hz,             -108.57, dBm,
            87366292,Hz,             -106.17, dBm,
            87382958,Hz,             -103.34, dBm,
            87399624,Hz,             -106.94, dBm,
